time,dhi_pyr,ghi_pyr_1,ghi_pyr_2,air_temperature,relative_humidity,barometric_pressure,precipitation,wind_speed,wind_from_direction,gti_clean,gti_soil,gti_monthly,sensor_cleaning
4/12/2019 1:33,0,0,0,15.51666641,97.74199677,810.4300537,0,2.033666372,209.8782654,0,0,0,0
4/12/2019 1:34,0,0,0,15.51466656,97.70999908,810.413269,0,2.193666697,212.8611755,0,0,0,0
4/12/2019 1:35,0,0,0,15.50566578,97.68900299,810.4046631,0,2.166999817,209.4503174,0,0,0,0
4/12/2019 1:36,0,0,0,15.51749992,97.66600037,810.3961792,0,1.780333161,214.9620056,0,0,0,0
4/12/2019 1:37,0,0,0,15.53249931,97.64399719,810.3972168,0,1.966999888,214.2822418,0,0,0,0
4/12/2019 1:38,0,0,0,15.54349995,97.6969986,810.3806763,0,1.793666601,217.4783783,0,0,0,0
4/12/2019 1:39,0,0,0,15.54199886,97.66799927,810.4212646,0,1.806999803,211.4975586,0,0,0,0
4/12/2019 1:40,0,0,0,15.52083302,97.63400269,810.4047241,0,1.806999803,213.1890259,0,0,0,0
4/12/2019 1:41,0,0,0,15.51616573,97.53299713,810.3977661,0,1.980333209,211.3128967,0,0,0,0
4/12/2019 1:42,0,0,0,15.50566578,97.53299713,810.3690796,0,1.553666592,213.9498749,0,0,0,0
4/12/2019 1:43,0,0,0,15.50366592,97.48000336,810.3581543,0,1.793666601,204.1357117,0,0,0,0
4/12/2019 1:44,0,0,0,15.48633289,97.29199982,810.3621216,0,2.006999731,212.1407623,0,0,0,0
4/12/2019 1:45,0,0,0,15.49699879,97.30400085,810.3497925,0,1.793666601,204.6278992,0,0,0,0
4/12/2019 1:46,0,0,0,15.52000046,97.33200073,810.371521,0,1.646999836,212.1281738,0,0,0,0
4/12/2019 1:47,0,0,0,15.52933216,97.33200073,810.3497925,0,1.686999917,210.7072144,0,0,0,0
4/12/2019 1:48,0,0,0,15.51099968,97.17199707,810.3287964,0,1.833666563,208.2309723,0,0,0,0
4/12/2019 1:49,0,0,0,15.51099968,97.15000153,810.3442993,0,1.780333161,208.5965271,0,0,0,0
4/12/2019 1:50,0,0,0,15.49866676,96.8710022,810.3284302,0,1.940333128,213.2329407,0,0,0,0
4/12/2019 1:51,0,0,0,15.51299953,96.91799927,810.3156738,0,1.780333161,212.357132,0,0,0,0
4/12/2019 1:52,0,0,0,15.52766609,96.89800262,810.3070679,0.200000003,1.860333204,213.767334,0,0,0,0
4/12/2019 1:53,0,0,0,15.53100014,96.97599792,810.291687,0,1.940333128,216.4602051,0,0,0,0
4/12/2019 1:54,0,0,0,15.54033279,96.97599792,810.2750244,0,2.166999817,212.6921234,0,0,0,0
4/12/2019 1:55,0,0,0,15.52783298,96.97599792,810.2774048,0,2.140332937,210.4792786,0,0,0,0
4/12/2019 1:56,0,0,0,15.54199886,97.02899933,810.2779541,0,2.100333214,212.5888824,0,0,0,0
4/12/2019 1:57,0,0,0,15.52933216,97.12799835,810.2825317,0,1.7403332,210.6639557,0,0,0,0
4/12/2019 1:58,0,0,0,15.53550053,97.12799835,810.284729,0,2.113666534,209.4716492,0,0,0,0
4/12/2019 1:59,0,0,0,15.53249931,97.23400116,810.2652588,0,1.926999927,202.658432,0,0,0,0
4/12/2019 2:00,0,0,0,15.53399944,97.28099823,810.2609863,0,1.873666525,207.8156281,0,0,0,0
4/12/2019 2:01,0,0,0,15.51833248,97.22599792,810.2531738,0,2.02033329,203.8771057,0,0,0,0
4/12/2019 2:02,0,0,0,15.50566578,97.22599792,810.2435303,0,2.073666573,206.5639954,0,0,0,0
4/12/2019 2:03,0,0,0,15.51833248,97.1760025,810.2429199,0,1.860333204,208.8570709,0,0,0,0
4/12/2019 2:04,0,0,0,15.50933361,97.22599792,810.2429199,0,1.673666477,203.1223297,0,0,0,0
4/12/2019 2:05,0,0,0,15.51966667,97.23000336,810.2341919,0,1.513666511,203.5168915,0,0,0,0
4/12/2019 2:06,0,0,0,15.50566578,97.22599792,810.2245483,0,1.439549923,200.528717,0,0,0,0
4/12/2019 2:07,0,0,0,15.51633263,97.2559967,810.2286987,0,1.325433254,199.1577759,0,0,0,0
4/12/2019 2:08,0,0,0,15.51099968,97.22200012,810.2139282,0,1.249749899,199.7045593,0,0,0,0
4/12/2019 2:09,0,0,0,15.50066662,97.27700043,810.2315674,0,1.237983227,198.6543427,0,0,0,0
4/12/2019 2:10,0,0,0,15.51299953,97.32800293,810.2301636,0,0.948583305,204.8916931,0,0,0,0
4/12/2019 2:11,0,0,0,15.50166607,97.27300262,810.1880493,0,1.243866563,197.5786896,0,0,0,0
4/12/2019 2:12,0,0,0,15.50199986,97.28099823,810.1773682,0,1.30464983,203.914093,0,0,0,0
4/12/2019 2:13,0,0,0,15.51466656,97.28099823,810.1804199,0,1.359549999,197.9988708,0,0,0,0
4/12/2019 2:14,0,0,0,15.50066662,97.22000122,810.1739502,0,1.340333343,203.4875641,0,0,0,0
4/12/2019 2:15,0,0,0,15.51966667,97.23000336,810.182373,0,1.134066701,194.8672943,0,0,0,0
4/12/2019 2:16,0,0,0,15.51283264,97.22599792,810.1627197,0,0.956033289,198.2750702,0,0,0,0
4/12/2019 2:17,0,0,0,15.49499893,97.14399719,810.1696777,0,1.417199969,202.3839264,0,0,0,0
4/12/2019 2:18,0,0,0,15.4946661,97.1210022,810.1712036,0,1.291316628,195.8672791,0,0,0,0
4/12/2019 2:19,0,0,0,15.51466656,97.125,810.1593628,0,1.372883201,198.0913239,0,0,0,0
4/12/2019 2:20,0,0,0,15.52299976,97.1780014,810.1628418,0,1.257199883,193.546875,0,0,0,0
4/12/2019 2:21,0,0,0,15.53233337,97.28099823,810.1622314,0,1.148966551,197.152771,0,0,0,0
4/12/2019 2:22,0,0,0,15.53733253,97.26200104,810.15625,0,1.346216559,196.8660126,0,0,0,0
4/12/2019 2:23,0,0,0,15.53399944,97.28500366,810.1421509,0,1.359549999,199.8477783,0,0,0,0
4/12/2019 2:24,0,0,0,15.53566551,97.28099823,810.1392212,0,1.513666511,201.3434601,0,0,0,0
4/12/2019 2:25,0,0,0,15.52449989,97.23000336,810.1394043,0,1.446999907,203.4710541,0,0,0,0
4/12/2019 2:26,0,0,0,15.53883266,97.18599701,810.1343384,0,1.486999869,199.9125061,0,0,0,0
4/12/2019 2:27,0,0,0,15.52466679,97.02300262,810.138916,0,1.513666511,203.3290405,0,0,0,0
4/12/2019 2:28,0,0,0,15.54049873,97.08000183,810.1407471,0,1.156416535,201.2221832,0,0,0,0
4/12/2019 2:29,0,0,0,15.53566551,96.94499969,810.1292725,0,1.279549956,196.9918823,0,0,0,0
4/12/2019 2:30,0,0,0,15.52933216,96.79399872,810.1029663,0,1.540333152,195.8934631,0,0,0,0
4/12/2019 2:31,0,0,0,15.53100014,96.67199707,810.1053467,0,1.473666549,197.7480927,0,0,0,0
4/12/2019 2:32,0,0,0,15.5371666,96.6230011,810.0994873,0,1.319549918,199.127655,0,0,0,0
4/12/2019 2:33,0,0,0,15.56316662,96.70300293,810.0931396,0,1.257199883,198.8063202,0,0,0,0
4/12/2019 2:34,0,0,0,15.56666565,96.77700043,810.1124268,0,1.291316628,195.6380463,0,0,0,0
4/12/2019 2:35,0,0,0,15.57016563,96.70300293,810.0905151,0,1.460333228,195.0747833,0,0,0,0
4/12/2019 2:36,0,0,0,15.57533264,96.73000336,810.092041,0,1.553666592,194.2454834,0,0,0,0
4/12/2019 2:37,0,0,0,15.60666561,96.79199982,810.0760498,0,1.366999984,192.7129211,0,0,0,0
4/12/2019 2:38,0,0,0,15.60833359,96.76200104,810.0563965,0,1.486999869,195.4034424,0,0,0,0
4/12/2019 2:39,0,0,0,15.62800026,96.79399872,810.0401001,0,1.406999946,197.1581879,0,0,0,0
4/12/2019 2:40,0,0,0,15.62333298,96.84799957,810.0393066,0,0.997599959,187.389801,0,0,0,0
4/12/2019 2:41,0,0,0,15.64066601,96.80000305,810.0910645,0,1.134066701,194.2570038,0,0,0,0
4/12/2019 2:42,0,0,0,15.62483311,96.63999939,810.0749512,0,1.125049949,192.1121216,0,0,0,0
4/12/2019 2:43,0,0,0,15.6313324,96.59400177,810.0332642,0,1.018383265,194.6124725,0,0,0,0
4/12/2019 2:44,0,0,0,15.63616657,96.48999786,810.0341797,0,0.768983245,192.1007385,0,0,0,0
4/12/2019 2:45,0,0,0,15.62316608,96.49199677,810.019104,0,0.914466619,192.2399597,0,0,0,0
4/12/2019 2:46,0,0,0,15.61833286,96.33200073,810.0148315,0,1.162299871,194.525528,0,0,0,0
4/12/2019 2:47,0,0,0,15.63949966,96.38600159,810.019165,0,0.914466619,200.6287384,0,0,0,0
4/12/2019 2:48,0,0,0,15.64949989,96.4960022,810.0081177,0,0.768983245,197.322052,0,0,0,0
4/12/2019 2:49,0,0,0,15.65449905,96.54199982,810.0150146,0,1.059949994,203.5202179,0,0,0,0
4/12/2019 2:50,0,0,0,15.63749886,96.54199982,810.0030518,0,1.143083215,201.0132904,0,0,0,0
4/12/2019 2:51,0,0,0,15.63749886,96.6210022,809.9979858,0,0.914466619,197.8101654,0,0,0,0
4/12/2019 2:52,0,0,0,15.65466595,96.71800232,810.0038452,0,0.87289995,195.2398071,0,0,0,0
4/12/2019 2:53,0,0,0,15.65466595,96.85500336,810.0222778,0,0.748199999,195.2106781,0,0,0,0
4/12/2019 2:54,0,0,0,15.65466595,96.85500336,810.0189819,0,1.059949994,192.0591736,0,0,0,0
4/12/2019 2:55,0,0,0,15.64066601,96.87799835,810.010376,0,0.935249984,189.5690918,0,0,0,0
4/12/2019 2:56,0,0,0,15.65633202,96.85500336,810.0112915,0,0.727416635,188.0231171,0,0,0,0
4/12/2019 2:57,0,0,0,15.65983295,96.88600159,810.0182495,0,0.87289995,185.8847046,0,0,0,0
4/12/2019 2:58,0,0,0,15.67333317,96.86299896,809.9921875,0,0.706633329,191.3281403,0,0,0,0
4/12/2019 2:59,0,0,0,15.68333244,96.86499786,810.0021973,0,0.41566664,186.7134552,0,0,0,0
4/12/2019 3:00,0,0,0,15.68999958,96.89399719,809.9949341,0,0.311749965,189.1717987,0,0,0,0
4/12/2019 3:01,0,0,0,15.7033329,96.91799927,810.0044556,0,0.29096663,179.4462128,0,0,0,0
4/12/2019 3:02,0,0,0,15.7033329,96.96800232,809.9840088,0,0.29096663,178.3395386,0,0,0,0
4/12/2019 3:03,0,0,0,15.69666576,96.97200012,809.9951782,0,0.145483315,184.2431183,0,0,0,0
4/12/2019 3:04,0,0,0,15.70499992,97.02700043,810.0005493,0,0,183.0026855,0,0,0,0
4/12/2019 3:05,0,0,0,15.69999886,97.0719986,809.982605,0,0,181.8157349,0,0,0,0
4/12/2019 3:06,0,0,0,15.69999886,97.02100372,809.9944458,0,0.166266665,189.7695007,0,0,0,0
4/12/2019 3:07,0,0,0,15.70666599,97.02300262,810.0097656,0,0.24939999,195.8512115,0,0,0,0
4/12/2019 3:08,0,0,0,15.71833324,97.02700043,809.9966431,0,0.394883305,206.8653717,0,0,0,0
4/12/2019 3:09,0,0,0,15.7149992,97.02700043,809.993103,0,0.478016645,214.359726,0,0,0,0
4/12/2019 3:10,0,0,0,15.72666645,97.08000183,809.9787598,0,0.519583344,211.625412,0,0,0,0
4/12/2019 3:11,0,0,0,15.74183273,97.10900116,810.0103149,0,0.41566664,202.8032074,0,0,0,0
4/12/2019 3:12,0,0,0,15.74516582,97.08999634,810.0021362,0,0.270183295,196.2685394,0,0,0,0
4/12/2019 3:13,0,0,0,15.75216579,97.13999939,810.0003662,0,0.311749965,192.7034454,0,0,0,0
4/12/2019 3:14,0,0,0,15.75016594,97.13999939,809.9970093,0,0.062349997,191.8164978,0,0,0,0
4/12/2019 3:15,0,0,0,15.75749874,97.16000366,810.0045166,0,0,190.5232697,0,0,0,0
4/12/2019 3:16,0,0,0,15.7519989,97.19100189,809.9974365,0,0,190.4924469,0,0,0,0
4/12/2019 3:17,0,0,0,15.76866627,97.29599762,809.9967651,0,0,190.4945831,0,0,0,0
4/12/2019 3:18,0,0,0,15.76066589,97.29199982,809.9921875,0,0,190.3671722,0,0,0,0
4/12/2019 3:19,0,0,0,15.76099968,97.31999969,809.9824829,0,0,184.8036194,0,0,0,0
4/12/2019 3:20,0,0,0,15.76099968,97.34400177,809.980835,0,0,172.8063507,0,0,0,0
4/12/2019 3:21,0,0,0,15.75716686,97.33999634,809.9674683,0,0,166.2411957,0,0,0,0
4/12/2019 3:22,0,0,0,15.76066589,97.34400177,809.9735107,0,0,158.3256378,0,0,0,0
4/12/2019 3:23,0,0,0,15.75533199,97.28900146,809.9639893,0,0,156.4722137,0,0,0,0
4/12/2019 3:24,0,0,0,15.73683262,97.20800018,809.9761963,0.200000003,0,154.7171936,0,0,0,0
4/12/2019 3:25,0,0,0,15.71666622,97.15599823,809.9744873,0,0,154.0509186,0,0,0,0
4/12/2019 3:26,0,0,0,15.72333241,97.13200378,809.9796143,0,0,153.8145905,0,0,0,0
4/12/2019 3:27,0,0,0,15.74499893,97.18800354,809.9726563,0,0,153.6679535,0,0,0,0
4/12/2019 3:28,0,0,0,15.75566578,97.24199677,809.9849854,0,0,153.6852112,0,0,0,0
4/12/2019 3:29,0,0,0,15.76533318,97.29199982,809.9837646,0,0,153.6761322,0,0,0,0
4/12/2019 3:30,0,0,0,15.74866676,97.23600006,809.9935913,0,0,149.1819,0,0,0,0
4/12/2019 3:31,0,0,0,15.74333286,97.26599884,809.9950562,0,0,146.7553406,0,0,0,0
4/12/2019 3:32,0,0,0,15.73666573,97.28099823,809.9889526,0,0,143.9100342,0,0,0,0
4/12/2019 3:33,0,0,0,15.70499897,97.17199707,809.9944458,0.200000003,0,130.2214355,0,0,0,0
4/12/2019 3:34,0,0,0,15.67833233,97.03700256,809.9973145,0,0,112.7268066,0,0,0,0
4/12/2019 3:35,0,0,0,15.65633202,96.98000336,810.0194702,0,0,112.0165634,0,0,0,0
4/12/2019 3:36,0,0,0,15.64583302,96.95700073,809.9996948,0,0,110.6882553,0,0,0,0
4/12/2019 3:37,0,0,0,15.64433289,96.95700073,810.0181274,0,0,111.1981888,0,0,0,0
4/12/2019 3:38,0,0,0,15.65466595,96.90799713,810.0084229,0,0,113.0883636,0,0,0,0
4/12/2019 3:39,0,0,0,15.62966633,96.79399872,810.0155029,0,0,112.0209503,0,0,0,0
4/12/2019 3:40,0,0,0,15.62483311,96.79399872,810.0278931,0,0,112.0829849,0,0,0,0
4/12/2019 3:41,0,0,0,15.61333275,96.70999908,810.0582275,0,0,113.7519302,0,0,0,0
4/12/2019 3:42,0,0,0,15.60499954,96.63200378,810.045166,0,0,115.3669434,0,0,0,0
4/12/2019 3:43,0,0,0,15.61666584,96.71800232,810.0401611,0,0,118.2230835,0,0,0,0
4/12/2019 3:44,0,0,0,15.61333275,96.68800354,810.0259399,0,0,118.8347092,0,0,0,0
